,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,0.21144206080146585
5,logXiH,0.25839332663966075
6,XiE,0.0015700422050073737
7,XiH,0.001829979024780993
8,kappa,20.471628431043428
9,q,0.10892211331167817
10,sigmaK,0.0
11,sigmaZ,0.0
12,sigmaVtilde,0.0
13,muK,0.05214391759004216
14,muZ,0.0
15,muVtilde,0.0
16,chi,0.0
17,sigmaW,0.8409914494582356
18,sigmaQ,0.03383951968020087
19,sigmaR,0.033839519680200866
20,deltaE,1.0084907766933322
21,deltaH,1.008520340404828
22,PiH,1.581779450160106
23,PiE,4.115993666342566
24,betaE,99.65442210154367
25,betaH,38.86385801682328
26,muW,0.07628592836690293
27,muQ,4.46353257546974
28,r,4.722828253151036
29,dent,0.023982671633959445
30,Fe,4.261539392074553
31,firstCoefsE,0.0762859283669029
32,secondCoefsE,0.011871291604826011
33,Fh,4.76178717463251
34,firstCoefsH,0.0762859283669029
35,secondCoefsH,0.011871291604826011
36,HJB_E,0.10658452831599127
37,HJB_H,1.3146187226212267
38,kappa_min,0.06636716321586032
