,Two norm,Sup Norm,Sup Percentage Norm,Interior Two Norm,Interior Sup Norm,Interior Sup Percentage Norm
W,0.0,0.0,0.0,0.0,0.0,0.0
Z,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0,0.0,0.0
Vtilde,0.0,0.0,0.0,0.0,0.0,0.0
logXiE,16.27389857429784,0.27122686230889226,46.864746706992015,12.079755254516833,0.07016589582398636,2.44117236447405
logXiH,12.580338294914592,0.26771949119921445,24.45301690439772,7.951902879273615,0.041901434100825696,1.2310677330980024
XiE,3.0331775780367174,0.1331746681761493,23.75564929109886,0.7130922961721343,0.004649062978709068,7.268612064197025
XiH,1.662599229982799,0.07862633537973163,23.487762543647722,0.2284429102877722,0.001595873600349268,4.279168998453814
kappa,0.790844973098692,0.09366243981405653,17.12860368629204,0.0936092380869046,0.010222842824162304,1.086753147356605
q,0.10315369214330801,0.012216839975746518,1.0165798739430998,0.012209900620031328,0.0013334142814125372,0.1064065427363731
chi,1.2379792899529167,0.06858354968409408,28.41133217531334,0.14637243830014926,0.013582886949401463,4.975008810266502
sigmaR_first_shock,0.10366115358338178,0.011951553180906502,29.878882952266256,0.002349980387665884,0.0003212824896533864,0.7865154565334215
sigmaR_second_shock,0.00146037311822178,0.00010592003400337625,inf,0.0002307454689694041,1.5749365369415984e-05,inf
sigmaR_third_shock,0.032558489713112836,0.0032091837344981194,inf,0.010654024422649115,0.0009263050112444005,inf
PiH_first_shock,24.307823400356327,0.8452947109300948,49.116936404437325,2.4766642614413406,0.07364407341544155,7.0929398421065
PiH_second_shock,0.4880057943519392,0.0055017716211074735,5.891968314185137,0.38678900233199714,0.003485607294125323,3.732813473694193
PiH_third_shock,0.5060197383451186,0.014946415304032939,5233.789328797352,0.2601753162420801,0.0063217564300154586,226.05844927926583
PiE_first_shock,1.3682564707596148,0.1504058995225055,28.411317103315763,0.01166387305137345,0.0012672044149676653,4.974995969130094
PiE_second_shock,0.012317281946570094,0.0010557593276984648,inf,0.000579333479022169,4.670866327911469e-05,inf
PiE_third_shock,0.2248206118902447,0.028300992911957527,inf,0.025780839943594543,0.0030676275123455183,inf
r,10.785310326123485,0.5931562902343193,78988.75044490588,0.40287932028616424,0.03879195314996507,9009.10125448631
dent,0.00011305216420386515,1.16174399403925e-05,468.94392007086367,0.00011305158369782433,1.16174399403925e-05,46.62902742360312
HJB_E,5.919224845054202,0.5948376505364421,inf,1.3141522618132397,0.09124644426666581,inf
HJB_H,5.227812609299736,0.34528522153703406,inf,1.594754192066265,0.14275540222536723,inf
kappa_min,0.06757686089433364,0.0041618420065268075,inf,0.036644449113191147,0.0016714079676078963,inf
