,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,10.806300459655763
5,logXiH,3.171648412975347
6,XiE,0.04240203214888318
7,XiH,7.56875594025821e-06
8,kappa,0.5956575273047564
9,q,0.155388920166458
10,sigmaK,0.0
11,sigmaZ,0.0
12,sigmaVtilde,0.0
13,muK,0.04356640813332094
14,muZ,0.0
15,muVtilde,0.0
16,chi,0.0
17,sigmaW,3.147983301780836
18,sigmaQ,3.9644968530170797
19,sigmaR,3.9644968530170797
20,deltaE,9.059748486781936
21,deltaH,9.064354163506026
22,PiH,7.99027540340091
23,PiE,25.656933730170635
24,betaE,21.845603062329474
25,betaH,0.7285356284575651
26,muW,6.794012788922867
27,muQ,30.012054916588475
28,r,33.2776703898509
29,dent,0.0002610851724966374
30,Fe,76.0441631081424
31,firstCoefsE,14.875475195138513
32,secondCoefsE,0.5199073049444407
33,Fh,32.93822514929739
34,firstCoefsH,5.990562322921101
35,secondCoefsH,0.5199073049444407
36,HJB_E,36.059335648382394
37,HJB_H,22.935190715594246
38,kappa_min,0.866223911803133
