,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,4.127618724881902
5,logXiH,24.743113343920697
6,XiE,2.410024734514096e-05
7,XiH,2.622648350944644e-05
8,kappa,1.9961699258343295
9,q,0.5207399806524343
10,sigmaK,0.0
11,sigmaZ,0.0
12,sigmaVtilde,0.0
13,muK,0.14868568613386982
14,muZ,0.0
15,muVtilde,0.0
16,chi,0.0
17,sigmaW,0.6326343492603435
18,sigmaQ,0.9913187625521659
19,sigmaR,0.9913187625521659
20,deltaE,1.4447306862996514
21,deltaH,1.4666468267128778
22,PiH,0.3666334749080604
23,PiE,8.197606500443138
24,betaE,54.72069008878497
25,betaH,2.691042063662969
26,muW,0.5677766231802547
27,muQ,85.35904063354796
28,r,85.0155283292379
29,dent,0.005186626322352181
30,Fe,87.61300941980794
31,firstCoefsE,0.567776623180255
32,secondCoefsE,0.0350253546215525
33,Fh,84.99265966245238
34,firstCoefsH,0.567776623180255
35,secondCoefsH,0.0350253546215525
36,HJB_E,9.139370419604841
37,HJB_H,65.68427325781386
38,kappa_min,0.10353244663881288
