,Two norm,Sup Norm,Sup Percentage Norm,Interior Two Norm,Interior Sup Norm,Interior Sup Percentage Norm
W,0.0,0.0,0.0,0.0,0.0,0.0
Z,0.0,0.0,0.0,0.0,0.0,0.0
V,0.0,0.0,0.0,0.0,0.0,0.0
Vtilde,0.0,0.0,0.0,0.0,0.0,0.0
logXiE,19.072900136386348,0.3515882340534531,70.1717025632094,15.260394331346669,0.08718898578895962,3.0749801681466535
logXiH,17.239196854705263,0.3639912276949393,33.231828919487896,9.663180236537784,0.10243928844385541,3.957308944435536
XiE,3.2282242475696257,0.17625649869870758,29.643023158936927,1.021899051718751,0.006762024445477077,9.11028631702252
XiH,2.2421802379622027,0.10203740155634017,30.510270943280798,0.3791489146524805,0.007314641629754648,9.736705165962382
kappa,2.649466779307112,0.4464288877989794,82.43417995578693,0.03190641548957813,0.0030112216910866962,0.30112216910866973
q,0.6911652467757685,0.11645970986060328,10.20434234441419,0.008323412736413242,0.0007855360933270994,0.06230113843628719
chi,1.2494545758184439,0.06726118798952818,28.43936185691014,0.12691287543528768,0.012493200254915626,4.511145162455995
sigmaR_first_shock,1.5218886538446117,0.18335907450820987,82.00231397048483,0.0034126101095755448,0.00042444500176856,1.0302676320611925
sigmaR_second_shock,0.0012358035602786479,0.00015184555189095517,inf,0.00015651703311892894,1.2213911805230376e-05,inf
sigmaR_third_shock,0.7406175131508689,0.13293887701908533,inf,0.02443888641716488,0.0029220504893206437,inf
PiH_first_shock,23.973183008920852,0.8572645765359024,92.52022272427577,2.212625984614668,0.06489600197036105,6.259191550100505
PiH_second_shock,0.5144041829009822,0.006333583776430132,6.782774259068222,0.42275838398768817,0.004124909329165136,4.417456039694732
PiH_third_shock,1.2540019139248848,0.2020695678567181,5386.266159894978,0.3770669489322447,0.011494596086241033,487.11368076985264
PiE_first_shock,15.551063981715497,1.6524017390801968,117.46723671314412,0.012010349747619142,0.0015746768407283035,4.5111217930992575
PiE_second_shock,0.01182454467227769,0.002295255998296953,inf,0.0004186640931277327,3.770430812337493e-05,inf
PiE_third_shock,11.076145321062572,2.0042013890910284,inf,0.06762202487476184,0.009680238761267692,inf
r,25.016085683476113,1.2750957673676209,31742.255018258915,0.7043272028641082,0.08891009006350367,7689.905246412293
dent,0.0010082385797338597,0.0001033016247626215,5774.470920257831,0.0010082335847366032,0.0001033016247626215,47.237769980565204
HJB_E,13.885020945779392,2.1452282418384643,inf,1.8477100601474052,0.16759097400514167,inf
HJB_H,9.082943977250496,0.8037498480703009,inf,2.001002247713029,0.1916150547775059,inf
kappa_min,0.06676807895329269,0.008665320320822234,inf,0.022355473490906518,0.001058695595550222,inf
