,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,9.829018396121134
5,logXiH,8.40699922915681
6,XiE,1.45199097721352
7,XiH,0.3163694096968356
8,kappa,1.44711642033956
9,q,0.3690674308309677
10,sigmaK,0.0
11,sigmaZ,0.0
12,sigmaVtilde,0.0
13,muK,0.1473641692061072
14,muZ,0.0
15,muVtilde,0.0
16,chi,0.5281955169996206
17,sigmaW,2.8614910304785193
18,sigmaQ,8.26179684465786
19,sigmaR,8.261796844657862
20,deltaE,584.41476897539
21,deltaH,292.2104849775264
22,PiH,18.573935260579027
23,PiE,101.02129102351701
24,betaE,25.82579963742679
25,betaH,1.5562610002339639
26,muW,197.33373227099943
27,muQ,864.5040666784365
28,r,553.8485376873336
29,dent,0.0005520332053305873
30,Fe,4293.197608933731
31,firstCoefsE,197.33373227099943
32,secondCoefsE,2.8132034774287114
33,Fh,546.1737749474623
34,firstCoefsH,192.68473534499466
35,secondCoefsH,2.8132034774287114
36,HJB_E,2032.0905198202622
37,HJB_H,91.11877120031446
38,kappa_min,16.90697436327406
